row_id,franchise,revenue_category,revenue,year_created,original_media,creators,owners
286,Transformers,Box Office,4,1984,Animated series,Takara Hasbro  Nobuyuki Okude,Hasbro Takara Tomy
287,Transformers,Home Video/Entertainment,0.74,1984,Animated series,Takara Hasbro  Nobuyuki Okude,Hasbro Takara Tomy
288,Transformers,"Merchandise, Licensing & Retail",11,1984,Animated series,Takara Hasbro  Nobuyuki Okude,Hasbro Takara Tomy
289,Twilight,Book sales,1,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
290,Twilight,Box Office,3,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
291,Twilight,Home Video/Entertainment,0.993,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
292,Twilight,"Merchandise, Licensing & Retail",0.395,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
293,Ultraman,Home Video/Entertainment,0.275,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
294,Ultraman,"Merchandise, Licensing & Retail",10,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
295,Ultraman,Video Games/Games,0.967,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
296,Warcraft,Box Office,0.434,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
297,Warcraft,Home Video/Entertainment,0.017,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
298,Warcraft,Video Games/Games,10,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
299,Westward Journey,Video Games/Games,6,2001,Video game,NetEase,NetEase
300,Wii series,Video Games/Games,14,2006,Video game,Nintendo EAD,Nintendo
301,Winnie the Pooh,Box Office,0.46,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
